,Date,Year,Type,Country,Area,Location
814,16-Feb-10,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point
815,15-Feb-10,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef
816,13-Feb-10,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays"
817,11-Feb-10,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney"
818, 06-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook
819,06-Feb-10,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach
820,06-Feb-10,2010,Provoked,USA,Florida,Riviera Beach
821,04-Feb-10,2010,Invalid,GUAM,Merizo,Achang Reef
822,03-Feb-10,2010,Unprovoked,USA,Florida,"Stuart, Martin County"
823,01-Feb-10,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach
824,31-Jan-10,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai"
825,27-Jan-10,2010,Unprovoked,AUSTRALIA,Queensland,Archie's Beach
826,22-Jan-10,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai"
827,22-Jan-10,2010,Unprovoked,AUSTRALIA,Victoria,Geelong
828,12-Jan-10,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek
829,09-Jan-10,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island
830,09-Jan-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon 
833,06-Jan-10,2010,Unprovoked,USA,Florida,Elliot Key
834,05-Jan-10,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London"
835,29-Dec-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred
836,26-Dec-09,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach
837,22-Dec-09,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro
838,20-Dec-09,2009,Boat,AUSTRALIA,Queensland,Mudjimba Island
839,20-Dec-09,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef
840,18-Dec-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns"
841,18-Dec-09,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban"
842,16-Dec-09,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island
843,13-Dec-09,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head
844,12-Dec-09,2009,Boat,AUSTRALIA,New South Wales,Hawks Nest Beach
845,05-Dec-09,2009,Provoked,USA,New Jersey,"Adventure Aquarium, Camden"
846,25-Nov-09,2009,Invalid,USA,California,"Huntington Beach, Orange County"
847,24-Nov-09,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County"
848,16-Nov-09,2009,Unprovoked,USA,California,"Loch Lomond, Marin County"
849,16-Nov-09,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County"
850,13-Nov-09,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County"
851,11-Nov-09,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
852,08-Nov-09,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley
853,05-Nov-09,2009,Unprovoked,USA,California,"Davenport, Santa Cruz County"
854,30-Oct-09,2009,Unprovoked,AUSTRALIA,Victoria,Portland
855, 29-Oct-2009,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo
856,28-Oct-09,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads
857,24-Oct-09,2009,Unprovoked,USA,California,"San Onofre, San Diego County "
858,19-Oct-09,2009,Unprovoked,USA,Hawaii,"Kalama Park, Maui"
859,18-Oct-09,2009,Unprovoked,PANAMA,Bocas,Playa La Cabaña 
860,17-Oct-09,2009,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium
861, 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Western Australia,
862,09-Oct-09,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County"
863,02-Oct-09,2009,Provoked,UNITED KINGDOM,Devon,Mewstone Rock
864,26-Sep-09,2009,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County"
865,18-Sep-09,2009,Unprovoked,VIETNAM,,
866,15-Sep-09,2009,Provoked,SOMALIA,,300 miles off the coast 
867,13-Sep-09,2009,Provoked,BRAZIL,Pernambuco,"Piedade, Recife"
868,12-Sep-09,2009,Invalid,USA,North Carolina,"Corolla, Currituck County"
869,07-Sep-09,2009,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife"
870,02-Sep-09,2009,Invalid,NEVIS,,Castle Beach
871,01-Sep-09,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)"
872,30-Aug-09,2009,Unprovoked,USA,California,"Huntington Beach, Orange County"
873,29-Aug-09,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana
874,25-Aug-09,2009,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County"
875,11-Aug-09,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand 
876,10-Aug-09,2009,Unprovoked,USA,Florida,"Ponce, Volusia County"
877,06-Aug-09,2009,Unprovoked,USA,Hawaii,Kawa'a 
878,01-Aug-09,2009,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound"
879,31-Jul-09,2009,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay
880,30-Jul-09,2009,Unprovoked,AUSTRALIA,New South Wales,Broken Head
881,29-Jul-09,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon 
882, 24-Jul-2009,2009,Unprovoked,KENYA,Mombasa,Likoni Channel
883,24-Jul-09,2009,Unprovoked,USA,Texas,South Padre Island
884,24-Jul-09,2009,Invalid,SPAIN,Catalunya,Sant Salvador
885,22-Jul-09,2009,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County
886,22-Jul-09,2009,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg"
887,18-Jul-09,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon 
888,11-Jul-09,2009,Provoked,BAHAMAS,,
889,11-Jul-09,2009,Unprovoked,USA,California,"San Onofre, San Diego County "
890,07-Jul-09,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai"
891,05-Jul-09,2009,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
892,04-Jul-09,2009,Provoked,USA,Florida,"Biscayne National Park, Miami"
893,27-Jun-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa"
894,21-Jun-09,2009,Invalid,USA,California,"Shell Beach, San Luis Obispo County"
895,16-Jun-09,2009,Invalid,USA,Florida,"Melbourne Beach, Brevard County"
896, 14-Jun-2009,2009,Provoked,VIETNAM,,
897,02-Jun-09,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar
899,01-Jun-09,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar
900,31-May-09,2009,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  
901,25-May-09,2009,Provoked,USA,Florida,"Clearwater Beach, Pinellas County"
902,17-May-09,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
903,16-May-09,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
905,12-May-09,2009,Provoked,GUAM,North Region,Ritidian Point
906,06-Mar-09,2009,Provoked,BAHAMAS,Exuma Islands,
907,28-Apr-09,2009,Unprovoked,USA,Florida,"St. Augustine, St. John's County"
908, 25-Apr-2009,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County"
909,21-Apr-09,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
910,20-Apr-09,2009,Unprovoked,PHILIPPINES,Batangas province,Mabini
911,19-Apr-09,2009,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet"
912,12-Apr-09,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay
913,17-Apr-09,2009,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County"
914,11-Apr-09,2009,Invalid,USA,Hawaii,Kona
915,06-Apr-09,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umtentweni
916,06-Apr-09,2009,Unprovoked,USA,California,San Diego County
917,03-Apr-09,2009,Unprovoked,USA,Florida,"Sanibel Island, Lee County"
918,27-Mar-09,2009,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth
919,21-Mar-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's"
920,20-Mar-09,2009,Unprovoked,AUSTRALIA,New South Wales,Blue Bay
921,19-Mar-09,2009,Unprovoked,AUSTRALIA,New South Wales,South Broulee
922,19-Mar-09,2009,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay
923,18-Mar-09,2009,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County"
924, 17-Mar-2009,2009,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island
925,17-Mar-09,2009,Unprovoked,USA,Hawaii,Alenuihaha Channel
926, 16-Mar-2009,2009,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island"
927,06-Mar-09,2009,Unprovoked,NEW CALEDONIA,South Province,Bourail
928,02-Mar-09,2009,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point
929,01-Mar-09,2009,Boat,NEW ZEALAND,North Island,Taranaki
930,01-Mar-09,2009,Unprovoked,AUSTRALIA,New South Wales,Avalon
931,22-Feb-09,2009,Unprovoked,AUSTRALIA,Queensland,Batt Reef
932,18-Feb-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie"
933,12-Feb-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney"
934,11-Feb-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour"
935,08-Feb-09,2009,Sea Disaster,USA,Puerto Rico,Quebradillas
936,07-Feb-09,2009,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach
937,07-Feb-09,2009,Unprovoked,AUSTRALIA,New South Wales,Sandon
938, 27-Jan-2009,2009,Provoked,AZORES,,Onboard the fishing vessel Nuevo Cedes 
939, 26-Jan-2009,2009,Invalid,BRAZIL,,Praia do Olho d'Aqua
940,25-Jan-09,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay
941,24-Jan-09,2009,Boat,NEW ZEALAND,North Island,Alderman Islands
942,24-Jan-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay"
943,24-Jan-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's"
944,23-Jan-09,2009,Invalid,BRAZIL,Maranhão,Olho d'Água 
945,18-Jan-09,2009,Boat,AUSTRALIA,Victoria,Off Tower Hill
946,16-Jan-09,2009,Unprovoked,NEW ZEALAND,South Island,Karitane Beach
947, 13-Jan-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai"
948,12-Jan-09,2009,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara"
949,11-Jan-09,2009,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay
950,11-Jan-09,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach
951,    10-Jan-2009,2009,Boat,NEW ZEALAND,North Island,Hawkes Bay
952,10-Jan-09,2009,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella
953,06-Jan-09,2009,Unprovoked,NEW ZEALAND,North Island,Haumoana 
954,Jan-09,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo
955,30-Dec-08,2008,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach
956,27-Dec-08,2008,Boat,AUSTRALIA,Tasmania,near Schouten Island
957,27-Dec-08,2008,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks
958,27-Dec-08,2008,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, north of Sydney"
959,27-Dec-08,2008,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach
960,20-Dec-08,2008,Unprovoked,USA,California,"Dillon Beach, Marin County"
961,14-Dec-08,2008,Unprovoked,NEW ZEALAND,North Island,Maraetai
962,10-Dec-08,2008,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay
963,06-Dec-06,2008,Boat,AUSTRALIA,New South Wales,Mowarry Point
964,Dec-08,2008,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele
965,28-Nov-08,2008,Unprovoked,EGYPT,Red Sea,Elphinstone Reef
966,25-Nov-08,2008,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait
967,24-Nov-08,2008,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz
968,09-Nov-08,2008,Boat,AUSTRALIA,South Australia,North Haven
969,09-Nov-08,2008,Sea Disaster,TAIWAN,,50 miles off Kaohsiung
970,06-Nov-08,2008,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province"
971,22-Oct-08,2008,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley"
972,21-Oct-08,2008,Unprovoked,NEW CALEDONIA,,
973,12-Oct-08,2008,Provoked,AUSTRALIA,Northern Territory,Darwin
974,11-Oct-08,2008,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie
975,08-Oct-08,2008,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County"
976,06-Oct-08,2008,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island"
977,28-Sep-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
978,28-Sep-08,2008,Unprovoked,USA,Florida,Bethune Beach
979,15-Sep-08,2008,Provoked,AUSTRALIA,Northern Territory,Near Croker Island
980,14-Sep-08,2008,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County"
981,09-Sep-08,2008,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu"
982,08-Sep-08,2008,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County"
983,07-Sep-08,2008,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay"
984,06-Sep-08,2008,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
986,01-Sep-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
987,Sep-08,2008,Unprovoked,USA,Florida,Hutchinson Island
988,30-Aug-08,2008,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay"
989,30-Aug-08,2008,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i "
990,30-Aug-08,2008,Provoked,ENGLAND,North Devon, Lundy Island
991,28-Aug-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
992,27-Aug-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
993,24-Aug-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
994,24-Aug-08,2008,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County"
995,20-Aug-08,2008,Unprovoked,USA,Florida,"Sanibel Island, Lee County"
996,18-Aug-08,2008,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County"
997,16-Aug-08,2008,Unprovoked,USA,US Virgin Islands,Buck Island
998,12-Aug-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
999,11-Aug-08,2008,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u"
1000,30-Jul-08,2008,Unprovoked,AUSTRALIA,Victoria,Levys Beach
1001, 30-Jul-2008,2008,Unprovoked,SOUTH AFRICA,,
1002,27-Jul-08,2008,Unprovoked,PANAMA,San Carlos,Playa Teta
1003,26-Jul-08,2008,Unprovoked,MEXICO,Cabo San Lucas,
1004,26-Jul-08,2008,Unprovoked,USA,Hawaii,"Honokowai, Maui"
1005,25-Jul-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1006,25-Jul-08,2008,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu"
1007,24-Jul-08,2008,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County"
1008,24-Jul-08,2008,Unprovoked,USA,North Carolina,"Topsail Island, Pender County"
1009,23-Jul-08,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County"
1010,19-Jul-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1011,18-Jul-08,2008,Unprovoked,EGYPT,,Daedalus Reef
1012,13-Jul-08,2008,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County"
1013,11-Jul-08,2008,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County"
1014,09-Jul-08,2008,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County"
1015,05-Jul-08,2008,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County"
1016, Jul-2008,2008,Boat,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings"
1017,28-Jun-08,2008,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i"
1018,28-Jun-08,2008,Unprovoked,BAHAMAS,Abaco Islands,
1019,28-Jun-08,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay
1020, 26-Jun-2008,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay
1021,26-Jun-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1022,26-Jun-08,2008,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County"
1023,24-Jun-08,2008,Unprovoked,BRAZIL,Bahia,Guarajuba
1024,21-Jun-08,2008,Unprovoked,USA,California,"West Cove, Catalina Island"
1025,20-Jun-08,2008,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County"
1026,11-Jun-08,2008,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda"
1027,07-Jun-08,2008,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
1028, 02-Jun-2008,2008,Boat,SCOTLAND,Easter Ross,Balintore Bay
1029,01-Jun-08,2008,Unprovoked,USA,South Carolina,Cherry Grove
1030,01-Jun-08,2008,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife"
1031,26-May-08,2008,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County"
1032,24-May-08,2008,Sea Disaster,BAHAMAS,Grand Bahama Island,Off West End
1033,24-May-08,2008,Unprovoked,MEXICO,Guerro,Playa Linda
1034,23-May-08,2008,Unprovoked,MEXICO,Guerro,Pantla Beach
1035,14-May-08,2008,Unprovoked,FIJI,Yasawa Islands,Turtle Island
1036,10-May-08,2008,Unprovoked,AUSTRALIA,Western Australia,Albany
1037,07-May-08,2008,Unprovoked,NEW CALEDONIA,North Province,Hienghène
1038,07-May-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1039,01-May-08,2008,Provoked,SOUTH AFRICA,,
1040,28-Apr-08,2008,Unprovoked,MEXICO,Guerro,Troncones Beach
1041,28-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1042,27-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1043,26-Apr-08,2008,Unprovoked,NEW CALEDONIA,North Province,Poindimié
1044,26-Apr-08,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County"
1045,25-Apr-08,2008,Unprovoked,USA,California,"Solana Beach, San Diego County"
1046,20-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1047,20-Apr-08,2008,Unprovoked,AUSTRALIA,New South Wales,Crescent Head
1048, 19-Apr-2008,2008,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal
1049,18-Apr-08,2008,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun"
1050,17-Apr-08,2008,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach"
1051,15-Apr-08,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
1052,28-Mar-08,2008,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County"
1053, 09-Apr-2008,2008,Unprovoked,FIJI,,
1054, 08-Apr-2008,2008,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
1055,08-Apr-08,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina"
1056,03-Apr-08,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
1057,28-Mar-08,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh
1058,28-Mar-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County"
1059,25-Mar-08,2008,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County"
1060,23-Mar-08,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
1061,21-Mar-08,2008,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County"
1062,15-Mar-08,2008,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County"
1063,07-Mar-08,2008,Unprovoked,USA,California," Huntington Beach, Orange County"
1064,24-Feb-08,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map"""
1065, 21-Feb-2008,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti
1066,15-Feb-08,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County"
1067,07-Feb-08,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay
1068,06-Feb-08,2008,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County"
1069,29-Jan-08,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban"
1070,27-Jan-08,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  
1071, 19-Jan-2008,2008,Invalid,NEW ZEALAND,South Island,Marfells Beach
1072,14-Jan-08,2008,Boat,NEW ZEALAND,North Island,Omaha Beach
1073,10-Jan-08,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
1074,Fall 2008,2008,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County"
1075,Summer-2008,2008,Unprovoked,MEXICO,Baja California,Playas de Tijuana
1076,21-Dec-07,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island
1077,19-Dec-07,2007,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,
1078,18-Dec-07,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach
1079,15-Dec-07,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island
1080,14-Dec-07,2007,Invalid,AUSTRALIA,New South Wales,Bondi 
1081,10-Dec-07,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu"
1082,09-Dec-07,2007,Unprovoked,NEW ZEALAND,South Island,Kaikoura
1083,07-Dec-07,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá
1084,18-Nov-07,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham
1085,08-Nov-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay"
1086,07-Nov-07,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand
1087,06-Nov-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1088,04-Nov-07,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County"
1089,03-Nov-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay
1090,Nov-11,2007,Invalid,MEXICO,Baja California,Guadalupe Island
1091,29-Oct-07,2007,Unprovoked,USA,Hawaii,"Wailea, Maui"
1092,15-Oct-07,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay
1093,13-Oct-07,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef
1094,07-Oct-07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County"
1095,06-Oct-07,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
1096,30-Sep-07,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County"
1097,30-Sep-07,2007,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo
1098,30-Sep-07,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island"
1099,28-Sep-07,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay
1100,27-Sep-07,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County"
1101,27-Sep-07,2007,Unprovoked,EGYPT,Red Sea,Daedalus Reef 
1102,22-Sep-07,2007,Invalid,USA,Florida,Jupiter Inlet
1103,22-Sep-07,2007,Unprovoked,USA,Florida,Huguenot Park
1104,20-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1105,17-Sep-07,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island
1106,16-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1107,16-Sep-07,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County"
1108,13-Sep-07,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County"
1109,08-Sep-07,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County"
1110,05-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
1111,04-Sep-07,2007,Unprovoked,USA,South Carolina,Sullivan's Island
1112,03-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
1113,03-Sep-07,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County"
1114,28-Aug-07,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu"
1115,28-Aug-07,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County"
1116,26-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1117,25-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1118,22-Aug-07,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher
1119,20-Aug-07,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach"
1120,19-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County"
1121,19-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1122,19-Aug-07,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County"
1123,15-Aug-07,2007,Unprovoked,USA,Florida,Sarasota Bay
1124,12-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
1125,11-Aug-07,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County"
1126,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County"
1128,07-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County"
1129,29-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County"
1130,28-Jul-07,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County"
1131,22-Jul-07,2007,Unprovoked,USA,California,"Malibu, Los Angeles County"
1132,21-Jul-07,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County"
